,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
14953,European,5208.0,27157822.0,Hallberg P,Anti-thyroid drug induced agranulocytosis,initial,2016-05-03,GCST003527,Other trait,#d53e4f
14954,European,5392.0,27157822.0,Hallberg P,Non-chemotherapy drug induced agranulocytosis,initial,2016-05-03,GCST003526,Other trait,#d53e4f
14956,European,5392.0,27157822.0,Hallberg P,Non-chemotherapy drug induced agranulocytosis,initial,2016-05-03,GCST003526,Biological process,#d53e4f
14958,European,84.0,28453389.0,Koga A,Resistance to antipsychotic treatment in schizophrenia,initial,2017-04-28,GCST004375,Response to drug,#d53e4f
14959,European,84.0,28453389.0,Koga A,Resistance to antipsychotic treatment in schizophrenia,initial,2017-04-28,GCST004375,Neurological disorder,#d53e4f
14960,European,84.0,28453389.0,Koga A,Resistance to antipsychotic treatment in schizophrenia (childhood trauma interaction),initial,2017-04-28,GCST004374,Response to drug,#d53e4f
14961,European,84.0,28453389.0,Koga A,Resistance to antipsychotic treatment in schizophrenia (childhood trauma interaction),initial,2017-04-28,GCST004374,Neurological disorder,#d53e4f
14962,European,84.0,28453389.0,Koga A,Resistance to antipsychotic treatment in schizophrenia (childhood trauma interaction),initial,2017-04-28,GCST004374,Other measurement,#d53e4f
14963,Other/Mixed,237.0,22504417.0,Stein JL,Brain structure,replication,2012-04-15,GCST001481,Other measurement,#99d594
14964,European,12514.0,22504417.0,Stein JL,Brain structure,replication,2012-04-15,GCST001481,Other measurement,#d53e4f
14965,Hispanic/Latin American,605.0,22504417.0,Stein JL,Brain structure,replication,2012-04-15,GCST001481,Other measurement,#807dba
14966,European,7795.0,22504417.0,Stein JL,Brain structure,initial,2012-04-15,GCST001481,Other measurement,#d53e4f
14967,European,12070.0,23666239.0,Chung CC,Testicular germ cell tumor,replication,2013-05-12,GCST002023,Cancer,#d53e4f
14968,European,1638.0,23666239.0,Chung CC,Testicular germ cell tumor,initial,2013-05-12,GCST002023,Cancer,#d53e4f
14969,African Am./Caribbean,821.0,26634245.0,Lutz SM,Post bronchodilator FEV1 in COPD,initial,2015-12-03,GCST003263,Other disease,#fee08b
14970,European,5439.0,26634245.0,Lutz SM,Post bronchodilator FEV1 in COPD,initial,2015-12-03,GCST003263,Other disease,#d53e4f
14971,African Am./Caribbean,821.0,26634245.0,Lutz SM,Post bronchodilator FEV1 in COPD,initial,2015-12-03,GCST003263,Response to drug,#fee08b
14972,European,5439.0,26634245.0,Lutz SM,Post bronchodilator FEV1 in COPD,initial,2015-12-03,GCST003263,Response to drug,#d53e4f
14973,African Am./Caribbean,821.0,26634245.0,Lutz SM,Post bronchodilator FEV1 in COPD,initial,2015-12-03,GCST003263,Other measurement,#fee08b
14974,European,5439.0,26634245.0,Lutz SM,Post bronchodilator FEV1 in COPD,initial,2015-12-03,GCST003263,Other measurement,#d53e4f
14975,European,10094.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio,initial,2015-12-03,GCST003264,Other measurement,#d53e4f
14977,African Am./Caribbean,3260.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio,initial,2015-12-03,GCST003264,Other measurement,#fee08b
14978,European,10094.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio,initial,2015-12-03,GCST003264,Response to drug,#d53e4f
14980,African Am./Caribbean,3260.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio,initial,2015-12-03,GCST003264,Response to drug,#fee08b
14982,African Am./Caribbean,3260.0,26634245.0,Lutz SM,Post bronchodilator FEV1,initial,2015-12-03,GCST003262,Response to drug,#fee08b
14983,European,10094.0,26634245.0,Lutz SM,Post bronchodilator FEV1,initial,2015-12-03,GCST003262,Response to drug,#d53e4f
14985,African Am./Caribbean,3260.0,26634245.0,Lutz SM,Post bronchodilator FEV1,initial,2015-12-03,GCST003262,Other measurement,#fee08b
14986,European,10094.0,26634245.0,Lutz SM,Post bronchodilator FEV1,initial,2015-12-03,GCST003262,Other measurement,#d53e4f
14987,African Am./Caribbean,821.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio in COPD,initial,2015-12-03,GCST003265,Other disease,#fee08b
14988,European,5439.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio in COPD,initial,2015-12-03,GCST003265,Other disease,#d53e4f
14989,African Am./Caribbean,821.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio in COPD,initial,2015-12-03,GCST003265,Other measurement,#fee08b
14990,European,5439.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio in COPD,initial,2015-12-03,GCST003265,Other measurement,#d53e4f
14991,African Am./Caribbean,821.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio in COPD,initial,2015-12-03,GCST003265,Response to drug,#fee08b
14992,European,5439.0,26634245.0,Lutz SM,Post bronchodilator FEV1/FVC ratio in COPD,initial,2015-12-03,GCST003265,Response to drug,#d53e4f
14993,European,6659.0,26634245.0,Lutz SM,Pre bronchodilator FEV1,initial,2015-12-03,GCST003266,Other measurement,#d53e4f
14994,European,6659.0,26634245.0,Lutz SM,Pre bronchodilator FEV1/FVC ratio,initial,2015-12-03,GCST003267,Other measurement,#d53e4f
14995,European,5299.0,29293537.0,Gorlova OY,Systemic sclerosis,initial,2018-01-02,GCST005336,Neurological disorder,#d53e4f
14996,African Am./Caribbean,551.0,29293537.0,Gorlova OY,Systemic sclerosis,initial,2018-01-02,GCST005336,Neurological disorder,#fee08b
14997,European,4553.0,29293537.0,Gorlova OY,Limited cutaneous systemic scleroderma,initial,2018-01-02,GCST005334,Neurological disorder,#d53e4f
14998,African Am./Caribbean,342.0,29293537.0,Gorlova OY,Limited cutaneous systemic scleroderma,initial,2018-01-02,GCST005334,Neurological disorder,#fee08b
14999,European,4040.0,29293537.0,Gorlova OY,Diffuse cutaneous systemic sclerosis,initial,2018-01-02,GCST005335,Neurological disorder,#d53e4f
15000,African Am./Caribbean,461.0,29293537.0,Gorlova OY,Diffuse cutaneous systemic sclerosis,initial,2018-01-02,GCST005335,Neurological disorder,#fee08b
15001,African Am./Caribbean,281.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-centromere-positive),initial,2018-01-02,GCST005333,Neurological disorder,#fee08b
15002,European,4137.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-centromere-positive),initial,2018-01-02,GCST005333,Neurological disorder,#d53e4f
15003,African Am./Caribbean,329.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-topoisomerase-positive),initial,2018-01-02,GCST005332,Neurological disorder,#fee08b
15004,European,3813.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-topoisomerase-positive),initial,2018-01-02,GCST005332,Neurological disorder,#d53e4f
15005,African Am./Caribbean,551.0,29293537.0,Gorlova OY,Systemic sclerosis,initial,2018-01-02,GCST005554,Neurological disorder,#fee08b
15006,European,5299.0,29293537.0,Gorlova OY,Systemic sclerosis,initial,2018-01-02,GCST005554,Neurological disorder,#d53e4f
15007,European,4553.0,29293537.0,Gorlova OY,Limited cutaneous systemic scleroderma,initial,2018-01-02,GCST005555,Neurological disorder,#d53e4f
15008,African Am./Caribbean,342.0,29293537.0,Gorlova OY,Limited cutaneous systemic scleroderma,initial,2018-01-02,GCST005555,Neurological disorder,#fee08b
15009,African Am./Caribbean,461.0,29293537.0,Gorlova OY,Diffuse cutaneous systemic sclerosis,initial,2018-01-02,GCST005553,Neurological disorder,#fee08b
15010,European,4040.0,29293537.0,Gorlova OY,Diffuse cutaneous systemic sclerosis,initial,2018-01-02,GCST005553,Neurological disorder,#d53e4f
15011,African Am./Caribbean,281.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-centromere-positive),initial,2018-01-02,GCST005552,Neurological disorder,#fee08b
15012,European,4137.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-centromere-positive),initial,2018-01-02,GCST005552,Neurological disorder,#d53e4f
15013,African Am./Caribbean,329.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-topoisomerase-positive),initial,2018-01-02,GCST005551,Neurological disorder,#fee08b
15014,European,3813.0,29293537.0,Gorlova OY,Systemic sclerosis (anti-topoisomerase-positive),initial,2018-01-02,GCST005551,Neurological disorder,#d53e4f
15015,Hispanic/Latin American,5062.0,29198719.0,Shaffer JR,Lobe attachment (rater-scored or self-reported),initial,2017-11-30,GCST005192,Other trait,#807dba
15016,European,66741.0,29198719.0,Shaffer JR,Lobe attachment (rater-scored or self-reported),initial,2017-11-30,GCST005192,Other trait,#d53e4f
15017,Asian,2857.0,29198719.0,Shaffer JR,Lobe attachment (rater-scored or self-reported),initial,2017-11-30,GCST005192,Other trait,#3288bd
15018,European,1791.0,29198719.0,Shaffer JR,Lobe attachment (rater scored),initial,2017-11-30,GCST005193,Other trait,#d53e4f
15019,Hispanic/Latin American,5062.0,29198719.0,Shaffer JR,Lobe attachment (rater scored),initial,2017-11-30,GCST005193,Other trait,#807dba
15020,Asian,2857.0,29198719.0,Shaffer JR,Lobe attachment (rater scored),initial,2017-11-30,GCST005193,Other trait,#3288bd
15021,European,4131.0,28076899.0,Taylor KE,Sjögren's syndrome,initial,2017-01-11,GCST004061,Neurological disorder,#d53e4f
15022,African,546.0,28076899.0,Taylor KE,Sjögren's syndrome,initial,2017-01-11,GCST004061,Neurological disorder,#fc8d59
15023,Other/Mixed,401.0,28076899.0,Taylor KE,Sjögren's syndrome,initial,2017-01-11,GCST004061,Neurological disorder,#99d594
15024,Asian,876.0,28076899.0,Taylor KE,Sjögren's syndrome,initial,2017-01-11,GCST004061,Neurological disorder,#3288bd
15026,Asian,1585.0,28076899.0,Taylor KE,Sjögren's syndrome,initial,2017-01-11,GCST004062,Neurological disorder,#3288bd
15027,African Am./Caribbean,1183.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),replication,2016-03-15,GCST003674,Other measurement,#fee08b
15028,European,5638.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),replication,2016-03-15,GCST003674,Other measurement,#d53e4f
15029,Asian,214.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),replication,2016-03-15,GCST003674,Other measurement,#3288bd
15030,Hispanic/Latin American,12558.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),initial,2016-03-15,GCST003674,Other measurement,#807dba
15031,African Am./Caribbean,1183.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),replication,2016-03-15,GCST003674,Neurological disorder,#fee08b
15032,European,5638.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),replication,2016-03-15,GCST003674,Neurological disorder,#d53e4f
15033,Asian,214.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),replication,2016-03-15,GCST003674,Neurological disorder,#3288bd
15034,Hispanic/Latin American,12558.0,26977737.0,Cade BE,Obstructive sleep apnea trait (apnea hypopnea index),initial,2016-03-15,GCST003674,Neurological disorder,#807dba
15035,European,5638.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),replication,2016-03-15,GCST003673,Other measurement,#d53e4f
15036,Asian,214.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),replication,2016-03-15,GCST003673,Other measurement,#3288bd
15037,Hispanic/Latin American,12557.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),initial,2016-03-15,GCST003673,Other measurement,#807dba
15038,African Am./Caribbean,1183.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),replication,2016-03-15,GCST003673,Other measurement,#fee08b
15039,European,5638.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),replication,2016-03-15,GCST003673,Neurological disorder,#d53e4f
15040,Asian,214.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),replication,2016-03-15,GCST003673,Neurological disorder,#3288bd
15041,Hispanic/Latin American,12557.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),initial,2016-03-15,GCST003673,Neurological disorder,#807dba
15042,African Am./Caribbean,1183.0,26977737.0,Cade BE,Obstructive sleep apnea (average oxygen saturation during sleep),replication,2016-03-15,GCST003673,Neurological disorder,#fee08b
15043,European,5638.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),replication,2016-03-15,GCST003675,Other measurement,#d53e4f
15044,African Am./Caribbean,1183.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),replication,2016-03-15,GCST003675,Other measurement,#fee08b
15045,Asian,214.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),replication,2016-03-15,GCST003675,Other measurement,#3288bd
15046,Hispanic/Latin American,10238.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),initial,2016-03-15,GCST003675,Other measurement,#807dba
15047,European,5638.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),replication,2016-03-15,GCST003675,Neurological disorder,#d53e4f
15048,African Am./Caribbean,1183.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),replication,2016-03-15,GCST003675,Neurological disorder,#fee08b
15049,Asian,214.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),replication,2016-03-15,GCST003675,Neurological disorder,#3288bd
15050,Hispanic/Latin American,10238.0,26977737.0,Cade BE,Obstructive sleep apnea trait (average respiratory event duration),initial,2016-03-15,GCST003675,Neurological disorder,#807dba
15051,European,528.0,22704111.0,Hotaling JM,Erectile dysfunction in type 1 diabetes,initial,2012-06-13,GCST001572,Other disease,#d53e4f
15052,European,528.0,22704111.0,Hotaling JM,Erectile dysfunction in type 1 diabetes,initial,2012-06-13,GCST001572,Metabolic disorder,#d53e4f
15053,European,4236.0,23548203.0,Zhang M,Sunburns,replication,2013-04-01,GCST001933,Other disease,#d53e4f
15054,European,9283.0,23548203.0,Zhang M,Sunburns,initial,2013-04-01,GCST001933,Other disease,#d53e4f
15055,European,2496.0,23548203.0,Zhang M,Eye color,replication,2013-04-01,GCST001929,Other measurement,#d53e4f
15056,European,3871.0,23548203.0,Zhang M,Eye color,initial,2013-04-01,GCST001929,Other measurement,#d53e4f
15057,European,2496.0,23548203.0,Zhang M,Eye color,replication,2013-04-01,GCST001929,Other trait,#d53e4f
15058,European,3871.0,23548203.0,Zhang M,Eye color,initial,2013-04-01,GCST001929,Other trait,#d53e4f
15059,European,4155.0,23548203.0,Zhang M,Hair color,replication,2013-04-01,GCST001932,Other measurement,#d53e4f
15060,European,7070.0,23548203.0,Zhang M,Hair color,initial,2013-04-01,GCST001932,Other measurement,#d53e4f
15061,European,4155.0,23548203.0,Zhang M,Hair color,replication,2013-04-01,GCST001932,Other trait,#d53e4f
15062,European,7070.0,23548203.0,Zhang M,Hair color,initial,2013-04-01,GCST001932,Other trait,#d53e4f
15063,European,6747.0,23548203.0,Zhang M,Non-melanoma skin cancer,initial,2013-04-01,GCST001940,Other trait,#d53e4f
15064,European,2078.0,23548203.0,Zhang M,Non-melanoma skin cancer,replication,2013-04-01,GCST001940,Other trait,#d53e4f
15065,European,6747.0,23548203.0,Zhang M,Non-melanoma skin cancer,initial,2013-04-01,GCST001940,Cancer,#d53e4f
15066,European,2078.0,23548203.0,Zhang M,Non-melanoma skin cancer,replication,2013-04-01,GCST001940,Cancer,#d53e4f
15067,European,9678.0,23548203.0,Zhang M,Tanning,initial,2013-04-01,GCST001939,Other trait,#d53e4f
15068,European,23812.0,20383145.0,Chambers JC,Creatinine levels,initial,2010-04-11,GCST000651,Other measurement,#d53e4f
